Bootcamp/Habilidad,Alta gestión y gerencia,Estrategía y posicionamiento ,Comercialización y Marketing,Prototipado,investigacion y desarrollo de nuesvos productos,Asesoria legal,Asesoria contable y financiera,Habilidad de presentación del proyecto y habilidades publicas,"Servicios financieros, valoración e inversión",Operaciones y procesos,Costeo de productos y servicios,Internalización de los productos o servicios
Finanzas para la Reactivación,1,0,0,0,0,1,1,1,1,0,1,0
Estrategia y Modelos Mentales,1,1,1,1,1,0,0,1,0,1,0,1
¿Dónde y Cómo Comunicar?,0,1,1,1,1,0,0,1,0,0,0,1
Gobierne Corporativo,1,0,0,0,0,1,1,1,1,1,1,1
Estrategias Comerciales,1,1,1,0,0,0,1,1,1,1,1,1
Desarrollo Sostenible,1,0,0,1,1,1,0,0,0,1,0,1
